id,Date,Dealer,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4894,31/08/2021,GTM,Female,Malay,28,SGR,HR,K.SELANGOR,H-BEAT(ACH110),7520,750,36,2000,1800,296,245,6770,0.3003,1259.53,8,0.9003,stockout
4895,31/08/2021,GTM,Male,Malay,48,SGR,MNC,MERU,H-RS150R TRICO,11090,3500,36,7403,6662,911,275,7590,0.1779,5476.92,9,0.6844,stockout
4896,31/08/2021,GTM,Male,Malay,32,KTN,MNC,T.PULAI,Y-EGOSO,7320,730,48,1900,1633,87,193,6590,0.171,1353.79,7,0.9003,reverted
4897,31/08/2021,GTM,Male,Malay,20,SGR,SRC,MERU,Y-Y15ZR,11710,1690,36,4441.2,3987.1,0,362,10020,0,,0,0.8557,rejected
4898,31/08/2021,GTM,Female,Malay,19,TRG,O&G,PUCHONG,Y-135LC AC,9290,1860,36,1231,1127,0,269,7430,0.2381,858.69,0,0.7998,approved
4900,31/08/2021,GTM,Male,Malay,31,KTN,SALE,R.PANJANG,H-RS150R TRICO,11090,1110,48,1972,1408,0,292,9980,0.2067,1116.92,0,0.8999,approved
4901,31/08/2021,GTM,Male,Malay,60,KDH,SRC,S.BULOH,H-BEAT(ACH110),7520,770,48,2222,1503,0,197,6750,0,,4,0.8976,rejected
4902,31/08/2021,GTM,Male,Malay,30,JHR,OTH,SS,Y-Y15ZR,11710,1690,48,2700,2442,0,293,10020,0,,4,0.8557,rejected
4903,31/08/2021,GTM,Male,Indian,21,SGR,SRC,RAWANG,Y-135LC AC,9290,930,48,2638.14,2401.59,0,244,8360,0,,4,0.8999,rejected
4905,31/08/2021,GTM,Male,Malay,22,KTN,MNC,S.BULOH,Y-Y15ZR,11710,1710,48,1050,946,0,292,10000,0.3083,654.33,5,0.854,approved
4908,31/08/2021,GTM,Male,Malay,25,PRK,SRC,SUBANG,Y-135LC AC,9290,3330,36,2500,2207,170,216,5960,0.1745,1821.78,0,0.6416,approved
4909,31/08/2021,GTM,Male,Malay,19,SGR,SRC,SUBANG,H-VARIO150,9770,1000,48,1500,1383,0,256,8770,0.185,1127.21,0,0.8976,rejected
4910,31/08/2021,GTM,Female,Malay,42,KUL,HLTH,S.BULOH,H-RS150R TRICO,11090,1130,48,2338,1939,1207,291,9960,0.7723,441.5,7,0.8981,rejected
4911,31/08/2021,GTM,Male,Malay,33,SWK,SRC,SUBANG,H-DASHR152,8370,860,36,2200,1891,0,272,7510,0.1434,1619.81,0,0.8973,rejected
4912,31/08/2021,GTM,Male,Malay,24,SGR,SRC,SUBANG,Y-115Z(UE15),7630,790,36,3984,3675,1080,247,6840,0.3611,2348,6,0.8965,approved
4913,31/08/2021,GTM,Male,Malay,26,KTN,SRC,SUBANG,Y-135LC AC,9290,1830,36,1800,1625,554,270,7460,0.5067,801.61,8,0.803,approved
4914,31/08/2021,GTM,Male,Malay,23,SGR,SRC,K.SELANGOR,Y-115Z(UE15),7630,1970,36,3715,3404,721,205,5660,0.2719,2478.61,8,0.7418,stockout
4916,31/08/2021,GTM,Female,Malay,42,SGR,F&B,RAWANG,Y-R15,15070,1510,48,5000,4800,0,396,13560,0,,0,0.8998,rejected
